id,Retailer,Retailer ID,Region,State,City,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,Year,Month,Day,Gender,Product_Type
1,FL,1185732,NE,NY,NY,50.0,1200,600000.0,300000.0,0.5,in,2020,1,1,M,SF
2,FL,1185732,NE,NY,NY,50.0,1000,500000.0,150000.0,0.3,in,2020,1,2,M,AF
3,FL,1185732,NE,NY,NY,40.0,1000,400000.0,140000.0,0.35,in,2020,1,3,F,SF
4,FL,1185732,NE,NY,NY,45.0,850,382500.0,133875.0,0.35,in,2020,1,4,F,AF
5,FL,1185732,NE,NY,NY,60.0,900,540000.0,162000.0,0.3,in,2020,1,5,M,AP
6,FL,1185732,NE,NY,NY,50.0,1000,500000.0,125000.0,0.25,in,2020,1,6,F,AP
7,FL,1185732,NE,NY,NY,50.0,1250,625000.0,312500.0,0.5,in,2020,1,7,M,SF
8,FL,1185732,NE,NY,NY,50.0,900,450000.0,135000.0,0.3,out,2020,1,8,M,AF
9,FL,1185732,NE,NY,NY,40.0,950,380000.0,133000.0,0.35,out,2020,1,21,F,SF
10,FL,1185732,NE,NY,NY,45.0,825,371250.0,129937.5,0.35,out,2020,1,22,F,AF
11,FL,1185732,NE,NY,NY,60.0,900,540000.0,162000.0,0.3,out,2020,1,23,M,AP
12,FL,1185732,NE,NY,NY,50.0,1000,500000.0,125000.0,0.25,out,2020,1,24,F,AP
13,FL,1185732,NE,NY,NY,50.0,1220,610000.0,305000.0,0.5,out,2020,1,25,M,SF
14,FL,1185732,NE,NY,NY,50.0,925,462500.0,138750.0,0.3,out,2020,1,26,M,AF
15,FL,1185732,NE,NY,NY,40.0,950,380000.0,133000.0,0.35,out,2020,1,27,F,SF
16,FL,1185732,NE,NY,NY,45.0,800,360000.0,126000.0,0.35,out,2020,1,28,F,AF
17,FL,1185732,NE,NY,NY,60.0,850,510000.0,153000.0,0.3,out,2020,1,29,M,AP
18,FL,1185732,NE,NY,NY,50.0,950,475000.0,118750.0,0.25,out,2020,1,30,F,AP
19,FL,1185732,NE,NY,NY,50.0,1200,600000.0,300000.0,0.5,out,2020,1,31,M,SF
20,FL,1185732,NE,NY,NY,50.0,900,450000.0,135000.0,0.3,out,2020,2,1,M,AF
21,FL,1185732,NE,NY,NY,40.0,900,360000.0,126000.0,0.35,out,2020,2,2,F,SF
22,FL,1185732,NE,NY,NY,45.0,825,371250.0,129937.5,0.35,out,2020,2,3,F,AF
23,FL,1185732,NE,NY,NY,60.0,825,495000.0,148500.0,0.3,out,2020,2,4,M,AP
24,FL,1185732,NE,NY,NY,50.0,950,475000.0,118750.0,0.25,out,2020,2,5,F,AP
25,FL,1185732,NE,NY,NY,60.0,1220,732000.0,366000.0,0.5,out,2020,2,6,M,SF
26,FL,1185732,NE,NY,NY,55.00000000000001,925,508750.00000000006,152625.0,0.3,out,2020,2,7,M,AF
27,FL,1185732,NE,NY,NY,50.0,900,450000.0,157500.0,0.35,out,2020,2,8,F,SF
28,FL,1185732,NE,NY,NY,50.0,850,425000.0,148750.0,0.35,out,2020,2,9,F,AF
29,FL,1185732,NE,NY,NY,60.0,875,525000.0,157500.0,0.3,out,2020,2,10,M,AP
30,FL,1185732,NE,NY,NY,65.0,1000,650000.0,162500.0,0.25,out,2020,3,3,F,AP
31,FL,1185732,NE,NY,NY,60.0,1250,750000.0,375000.0,0.5,out,2020,3,4,M,SF
32,FL,1185732,NE,NY,NY,55.00000000000001,1000,550000.0000000001,165000.00000000003,0.3,out,2020,3,5,M,AF
33,FL,1185732,NE,NY,NY,50.0,925,462500.0,161875.0,0.35,out,2020,3,6,F,SF
